team_name,name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
West Ham United FC,West,2023/2024,England,7,3,4,0,4,2,2,1,0,1,2,1,1,1.86,2,1.75,7,8,5,7,13,10,3,23,10,13,6,7,4,6,2,1,48,45,51,63,68,60,1,1,0,6,2,4,0,0,0,6,3,3,32,14,18,18,8,10,38,36,39,76,34,42,42,21,21,34,13,21,74,25,49,7,4,3,2,1,1,5,3,2,4,2,2,3,1,2,0,0,0,2.14,2.33,2,3.29,3.33,3.25,1.86,2,1.75,1.43,1.33,1.5,1.29,1.67,1,1,1.33,0.75,0.29,0.33,0.25,7,7,5,4,0,0,3,3,2,2,0,0,4,4,3,2,0,0,0,0,2,3,7,7,0,0,1,1,3,3,0,0,1,2,4,4,100,100,71,57,0,0,100,100,67,67,0,0,100,100,75,50,0,0,0,0,29,43,100,100,0,0,33,33,100,100,0,0,25,50,100,100,6,3,0,3,2,0,3,1,0,86,43,0,100,67,0,75,25,0,57,67,50,8,14,33,0,86,67,100,0,0,0,86,100,75,5,2,3,71,67,75,1,0,1,14,0,25,2,1,1,29,33,25,57,67,50,43,33,50,0,0,0,4.57,4.67,4.5,2.57,2.67,2.5,100,100,100,100,100,71,56,56,1.38,1.46,1.32,2.02,2.04,2.01,86,1,1,1,3,1,3,1,0,2,0,1,1,0,1,1,0,1,5,14,0,25,29,33,25,43
Newcastle United FC,New,2023/2024,England,7,4,3,0,4,3,1,0,0,0,3,1,2,1.71,2.25,1,8,4,15,8,18,7,11,25,12,13,9,9,3,4,6,5,35,40,30,90,120,68,3,2,1,3,2,1,1,0,1,5,4,1,32,24,8,18,9,9,52,56,47,90,60,30,56,35,21,34,25,9,78,42,36,7,4,3,3,1,2,4,3,1,4,3,1,1,1,0,2,0,2,1.86,2.5,1,3.57,3,4.33,2.57,2.25,3,1,0.75,1.33,1.43,1.25,1.67,1,1,1,0.43,0.25,0.67,7,5,4,3,2,2,4,3,2,1,1,1,3,2,2,2,1,1,0,2,3,4,5,5,0,1,2,3,3,3,0,1,1,1,2,2,100,71,57,43,29,29,100,75,50,25,25,25,100,67,67,67,33,33,0,29,43,57,71,71,0,25,50,75,75,75,0,33,33,33,67,67,6,2,2,3,1,1,3,1,1,86,29,29,75,25,25,100,33,33,57,75,33,7,43,50,33,43,50,33,14,0,33,71,100,33,4,3,1,57,75,33,3,1,2,43,25,67,1,1,0,14,25,0,57,75,33,14,25,0,29,0,67,4.57,6,2.67,2.57,2.25,3,86,71,43,43,43,14,14,14,1.76,1.99,1.47,1.16,1.1,1.24,114,1,2,2,2,0,2,3,3,3,0,1,1,1,0,0,2,0,2,0,0,0,43,25,67,0
Aston Villa FC,Aston,2023/2024,England,7,3,4,0,5,3,2,0,0,0,2,0,2,2.14,3,1.5,5,1,8,5,18,11,7,29,15,14,13,5,2,9,11,-4,35,21,72,57,134,40,2,1,1,4,2,2,1,0,1,4,2,2,37,12,25,20,12,8,49,56,43,85,38,47,51,24,27,34,14,20,88,42,46,8,5,3,4,0,4,4,5,-1,3,2,1,2,1,1,2,0,2,1.57,2.33,1,4.14,5,3.5,2.57,4.33,1.25,1.57,0.67,2.25,1.71,1.67,1.75,1.14,1.67,0.75,0.57,0,1,7,6,6,5,2,2,3,3,3,3,1,1,4,3,3,2,1,1,0,1,1,2,5,5,0,0,0,0,2,2,0,1,1,2,3,3,100,86,86,71,29,29,100,100,100,100,33,33,100,75,75,50,25,25,0,14,14,29,71,71,0,0,0,0,67,67,0,25,25,50,75,75,5,5,2,2,2,1,3,3,1,71,71,29,67,67,33,75,75,25,71,100,50,63,29,33,25,57,67,50,14,0,25,57,67,50,5,3,2,71,100,50,3,1,2,43,33,50,1,0,1,14,0,25,43,67,25,29,33,25,29,0,50,5.29,4,6.25,2.86,4,2,71,71,71,71,43,28,28,14,1.59,1.75,1.48,1.3,0.99,1.54,100,1,4,3,0,0,1,2,2,5,2,1,1,0,3,2,0,1,1,0,0,0,29,0,50,14
Fulham FC,Ful,2023/2024,England,7,3,4,0,2,1,1,2,0,2,3,2,1,1.14,1,1.25,13,14,9,13,5,12,-7,17,6,11,1,4,5,7,-4,-3,127,273,90,53,54,51,3,1,2,2,0,2,3,2,1,3,1,2,33,19,14,21,7,14,51,63,43,55,23,32,28,10,18,27,13,14,69,34,35,2,0,2,5,3,2,-3,-3,0,1,0,1,3,1,2,3,2,1,0.86,0.33,1.25,2.43,2,2.75,0.71,0.33,1,1.71,1.67,1.75,1,1,1,0.29,0,0.5,0.71,1,0.5,6,4,3,2,1,1,3,2,1,0,0,0,3,2,2,2,1,1,1,3,4,5,6,6,0,1,2,3,3,3,1,2,2,2,3,3,86,57,43,29,14,14,100,67,33,0,0,0,75,50,50,50,25,25,14,43,57,71,86,86,0,33,67,100,100,100,25,50,50,50,75,75,4,2,1,2,1,0,2,1,1,57,29,14,67,33,0,50,25,25,29,33,25,-26,43,33,50,29,0,50,43,67,25,43,33,50,4,1,3,57,33,75,5,3,2,71,100,50,1,0,1,14,0,25,14,0,25,43,33,50,43,67,25,4.71,6.33,3.5,3,2.33,3.5,86,86,71,43,28,14,14,14,0.88,0.92,0.85,1.61,1.4,1.76,43,1,0,0,1,0,0,1,1,1,0,2,0,1,2,1,3,1,2,29,0,50,43,67,25,0
Brighton & Hove Albion FC,Bright,2023/2024,England,7,4,3,0,5,3,2,0,0,0,2,1,1,2.14,2.25,2,6,5,7,6,19,14,5,33,17,16,11,8,6,8,5,0,33,33,34,45,60,34,0,0,0,7,4,3,0,0,0,4,2,2,39,32,7,22,10,12,63,67,57,92,60,32,58,36,22,34,24,10,80,40,40,5,3,2,5,2,3,0,1,-1,4,2,2,1,1,0,2,1,1,1.86,1.75,2,4.71,4.25,5.33,2.71,2.75,2.67,2,1.5,2.67,1.43,1.25,1.67,0.71,0.75,0.67,0.71,0.5,1,7,7,7,7,3,1,4,4,4,4,1,0,3,3,3,3,2,1,0,0,0,0,4,6,0,0,0,0,3,4,0,0,0,0,1,2,100,100,100,100,43,14,100,100,100,100,25,0,100,100,100,100,67,33,0,0,0,0,57,86,0,0,0,0,75,100,0,0,0,0,33,67,7,2,1,4,1,0,3,1,1,100,29,14,100,25,0,100,33,33,71,75,67,13,0,0,0,100,100,100,0,0,0,57,50,67,4,2,2,57,50,67,2,1,1,29,25,33,1,1,0,14,25,0,57,50,67,14,25,0,29,25,33,5.57,8,2.33,3.14,2.5,4,86,86,43,28,28,28,28,14,1.91,2.18,1.53,1.36,1.22,1.55,171,0,2,1,1,4,3,2,3,3,0,2,3,0,0,1,3,1,4,0,0,0,29,25,33,14
Nottingham Forest FC,Notti,2023/2024,England,7,3,4,0,2,1,1,2,2,0,3,0,3,1.14,1.67,0.75,12,10,17,12,8,10,-2,18,7,11,4,4,3,7,1,-3,79,68,90,63,90,51,1,0,1,5,3,2,1,0,1,3,1,2,24,12,12,26,7,19,37,46,31,57,28,29,28,12,16,29,16,13,77,27,50,3,1,2,6,1,5,-3,0,-3,2,1,1,2,1,1,3,1,2,1.14,1.33,1,2.57,2.33,2.75,1.14,1.33,1,1.43,1,1.75,1.29,0.67,1.75,0.43,0.33,0.5,0.86,0.33,1.25,7,6,3,1,1,0,3,3,1,0,0,0,4,3,2,1,1,0,0,1,4,6,6,7,0,0,2,3,3,3,0,1,2,3,3,4,100,86,43,14,14,0,100,100,33,0,0,0,100,75,50,25,25,0,0,14,57,86,86,100,0,0,67,100,100,100,0,25,50,75,75,100,5,3,1,2,0,0,3,3,1,71,43,14,67,0,0,75,75,25,29,33,25,24,14,0,25,71,100,50,14,0,25,43,33,50,3,2,1,43,67,25,5,2,3,71,67,75,1,0,1,14,0,25,29,33,25,29,33,25,43,33,50,3.43,4,3,3.71,2.33,4.75,100,86,86,71,71,56,28,14,0.87,0.98,0.79,1.52,1.38,1.63,100,3,0,0,0,1,0,2,0,2,1,2,1,1,2,2,0,1,0,29,67,0,43,0,75,0
Brentford FC,Brent,2023/2024,England,7,4,3,1,1,0,1,4,3,1,2,1,1,1,0.75,1.33,14,13,10,14,10,10,0,20,14,6,6,4,8,2,-2,2,63,60,68,63,45,134,1,0,1,5,4,1,1,0,1,4,2,2,36,17,19,13,4,9,51,52,49,78,43,35,38,20,18,40,23,17,71,37,34,6,5,1,4,4,0,2,1,1,2,1,1,5,3,2,0,0,0,1.57,1.5,1.67,2.86,3.5,2,1.43,1.5,1.33,1.43,2,0.67,1.43,2.25,0.33,0.86,1.25,0.33,0.57,1,0,7,6,4,3,0,0,4,4,3,3,0,0,3,2,1,0,0,0,0,1,3,4,7,7,0,0,1,1,4,4,0,1,2,3,3,3,100,86,57,43,0,0,100,100,75,75,0,0,100,67,33,0,0,0,0,14,43,57,100,100,0,0,25,25,100,100,0,33,67,100,100,100,5,3,1,4,3,1,1,0,0,71,43,14,100,75,25,33,0,0,14,0,33,-18,14,0,33,71,100,33,14,0,33,57,50,67,4,1,3,57,25,100,2,0,2,29,0,67,3,3,0,43,75,0,29,25,33,71,75,67,0,0,0,5.14,4.25,6.33,1.86,1,3,86,71,71,56,43,28,14,14,1.45,1.36,1.57,1.36,1.67,0.95,71,1,1,2,1,1,1,1,0,2,1,1,1,0,1,0,3,3,0,57,75,33,29,25,33,0
Wolverhampton Wanderers FC,Wolv,2023/2024,England,7,3,4,0,2,1,1,1,0,1,4,2,2,1,1,1,15,15,13,15,8,13,-5,21,12,9,4,4,8,5,-4,-1,79,68,90,48,34,72,1,0,1,5,3,2,1,0,1,4,2,2,19,9,10,25,11,14,45,37,51,61,24,37,30,11,19,31,13,18,96,43,53,2,2,0,1,1,0,1,1,0,2,2,0,4,0,4,1,1,0,1.43,2,1,3,4,2.25,1.14,1.33,1,1.86,2.67,1.25,0.43,1,0,0.29,0.67,0,0.14,0.33,0,7,5,4,3,2,0,3,3,3,2,1,0,4,2,1,1,1,0,0,2,3,4,5,7,0,0,0,1,2,3,0,2,3,3,3,4,100,71,57,43,29,0,100,100,100,67,33,0,100,50,25,25,25,0,0,29,43,57,71,100,0,0,0,33,67,100,0,50,75,75,75,100,3,0,0,3,0,0,0,0,0,43,0,0,100,0,0,0,0,0,29,33,25,-14,14,0,25,71,100,50,14,0,25,57,67,50,6,2,4,86,67,100,5,1,4,71,33,100,0,0,0,0,0,0,29,67,0,57,0,100,14,33,0,2.71,3,2.5,3.57,3.67,3.5,71,56,28,28,28,14,14,14,1.04,0.95,1.1,1.85,1.97,1.76,114,1,1,0,0,1,0,3,0,2,0,1,0,0,1,5,1,2,3,14,0,25,57,67,50,14
Sheffield United FC,Shef,2023/2024,England,7,4,3,0,0,0,0,1,1,0,6,3,3,0.14,0.25,0,20,18,20,20,5,19,-14,24,16,8,3,2,13,6,-10,-4,127,120,134,33,28,45,0,0,0,4,2,2,3,2,1,1,0,1,25,12,13,23,12,11,38,35,42,56,33,23,30,17,13,26,16,10,84,52,32,2,2,0,7,4,3,-5,-2,-3,1,1,0,3,2,1,3,1,2,0.86,1.25,0.33,3.43,4,2.67,0.71,0.75,0.67,2.71,3.25,2,1.29,1.5,1,0.29,0.5,0,1,1,1,7,6,5,2,1,1,4,3,3,2,1,1,3,3,2,0,0,0,0,1,2,5,6,6,0,1,1,2,3,3,0,0,1,3,3,3,100,86,71,29,14,14,100,75,75,50,25,25,100,100,67,0,0,0,0,14,29,71,86,86,0,25,25,50,75,75,0,0,33,100,100,100,4,3,2,2,2,2,2,1,0,57,43,29,50,50,50,67,33,0,0,0,0,-7,0,0,0,57,50,67,43,50,33,14,0,33,3,2,1,43,50,33,6,3,3,86,75,100,1,1,0,14,25,0,14,25,0,43,50,33,43,25,67,3.57,3,4.33,3.29,3,3.67,100,86,86,86,56,43,43,14,0.84,0.82,0.86,2.22,2.28,2.15,100,0,0,0,1,2,0,0,1,1,1,1,2,3,1,2,3,1,5,14,25,0,86,75,100,14
Luton Town FC,Luton,2023/2024,England,7,3,4,0,1,0,1,1,1,0,5,2,3,0.57,0.33,0.75,17,17,18,17,6,14,-8,20,8,12,3,3,5,9,-2,-6,105,90,120,45,54,40,0,0,0,5,3,2,2,0,2,1,0,1,45,26,19,13,5,8,37,48,29,67,38,29,23,11,12,44,27,17,78,34,44,2,0,2,5,2,3,-3,-2,-1,1,0,1,2,1,1,4,2,2,0.71,0.33,1,2.86,2.67,3,0.86,1,0.75,2,1.67,2.25,1,0.67,1.25,0.29,0,0.5,0.71,0.67,0.75,7,6,5,1,1,0,3,3,2,0,0,0,4,3,3,1,1,0,0,1,2,6,6,7,0,0,1,3,3,3,0,1,1,3,3,4,100,86,71,14,14,0,100,100,67,0,0,0,100,75,75,25,25,0,0,14,29,86,86,100,0,0,33,100,100,100,0,25,25,75,75,100,5,1,1,2,0,0,3,1,1,71,14,14,67,0,0,75,25,25,14,0,25,17,0,0,0,71,100,50,29,0,50,14,0,25,2,1,1,29,33,25,6,3,3,86,100,75,1,0,1,14,0,25,14,0,25,29,33,25,57,67,50,6.43,8.67,4.75,1.86,1.67,2,100,100,86,71,56,43,43,14,1.1,1.43,0.85,1.7,1.17,2.1,86,0,0,1,1,0,0,1,0,3,0,1,0,2,3,0,2,2,4,14,33,0,71,67,75,14
