team_name,Defence_line,Home_ground_effect,Tempo_home,Tempo,Transition_Defence_Attack,matches_played,matches_played_away,matches_played_home,wins,wins_away,wins_home,draws_away,draws_home,losses,losses_away,losses_home,points_per_game_away,points_per_game,points_per_game_home,league_position,league_position_away,league_position_home,performance_rank,Attack_goals,Defence_goals_conceded,goal_difference,total_goal_count_away,Attack_goals_away,total_goal_count_home,Attack_goals_home,Defence_goals_conceded_away,Defence_goals_conceded_home,clean_sheets,clean_sheets_away,clean_sheets_home,btts_count,btts_count_away,btts_count_home,corners_total,corners_total_home,corners_total_home,average_possession,average_possession_away,average_possession_home,shots,shots_away,shots_home,shots_on_target,shots_on_target_away,shots_on_target_home,fouls,fouls_home,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away
Arsenal FC,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25
Liverpool FC,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67
